word,fami
阿胶,4.923077
阿姨,6.363636
阿谀奉承,4.25
哀兵必胜,4.478261
哀悼,6.045455
哀号,5.47619
哀鸣,6.066667
哀求,5.928571
哀伤,6.038462
哀思,5.481481
哀叹,6.0
哀痛,6.606061
唉声叹气,5.5
挨打,5.76
挨饿,5.757576
挨家挨户,5.04
挨近,4.75
挨着,6.190476
癌细胞,4.787879
癌症,4.971429
矮小,6.392857
艾滋病,6.148148
爱不释手,5.952381
爱财如命,5.711111
爱戴,6.484848
爱抚,4.961538
爱国,5.64
爱好,6.647059
爱护,6.666667
爱美,6.185185
爱民如子,5.217391
爱莫能助,5.727273
爱慕,6.5
爱情,6.28125
爱犬,5.916667
爱人,6.606061
爱上,5.77551
爱屋及乌,5.447368
爱惜,6.214286
爱心,6.4
爱意,6.076923
隘口,4.466667
碍事,6.185185
碍手碍脚,5.58
碍眼,5.857143
暧昧,5.565217
安定,5.78125
安顿,6.484848
安放,5.653846
安分,6.30303
安分守己,5.821429
安抚,6.111111
安好,6.285714
安家,6.558824
安家立业,5.0
安家落户,5.553191
安检,6.606061
安静,6.625
安居,5.583333
安居乐业,5.833333
安康,5.933333
安乐,5.766667
安乐死,5.869565
安眠,5.892857
安眠药,5.12
安宁,6.214286
安排,6.5
安贫乐道,4.464286
安全,6.366667
安全带,6.043478
安然,5.347826
安然无恙,5.710526
安身立命,5.291667
安适,6.308275
安睡,5.478261
安危,5.714286
安慰,6.535714
安稳,6.617647
安息,6.057143
安闲,6.321429
安详,6.363636
安祥,5.625
安享晚年,5.432432
安心,6.4
安逸,5.636364
安营扎寨,4.416667
安葬,5.53125
安之若素,3.96
安置,6.457143
安装,6.39375
鹌鹑,4.708333
岸边,5.652174
按兵不动,5.326531
按部就班,5.681818
按键,5.997253
按揭,4.510204
按理,6.354167
按铃,5.608696
按摩,5.666667
按摩椅,5.56
按捺,4.848485
按钮,6.071429
按时,6.36
按说,5.566667
按图索骥,4.16
按压,5.363636
按照,6.411765
案发,5.521739
案件,6.141026
案卷,4.714286
案例,5.538462
案情,4.916667
案头,2.928571
案子,5.833333
暗藏,5.75
暗淡,6.708333
暗访,5.565217
暗号,5.576923
暗红,6.058824
暗流,4.0
暗杀,6.285714
暗示,6.357143
暗算,5.888889
暗无天日,5.350877
暗想,5.964286
暗笑,5.166667
暗喻,4.296296
暗中,6.466667
暗自,6.181818
黯淡,5.7
黯然,4.458333
黯然失色,5.035714
肮脏,6.470588
昂贵,6.428571
昂首,5.434783
昂首阔步,4.92
昂扬,5.809524
盎然,4.510638
盎司,2.818182
凹凸,5.782609
凹陷,5.911765
遨游,5.928571
熬夜,6.5
翱翔,5.933333
鏖战,3.333333
傲慢,6.485714
傲气,5.692308
傲然,4.576923
奥秘,4.777778
奥妙,5.923077
奥运,5.969697
奥运会,6.227273
澳元,5.130435
懊悔,6.4
懊恼,5.96
八方,6.133333
